[Rules.Rule-1].Name;Maximum decentralization
[Rules.Rule-2].Name;Decentralization
[Rules.Rule-3].Name;Balanced management
[Rules.Rule-4].Name;Centralization
[Rules.Rule-5].Name;Maximum centralization
[Rules.Rule-6].Name;Fully automated artifact search
[Rules.Rule-7].Name;Partial automation of artifact search
[Rules.Rule-8].Name;Balanced search
[Rules.Rule-9].Name;Anomaly mapping
[Rules.Rule-10].Name;Anomaly monitoring
[Rules.Rule-11].Name;Paranoid counterrecon
[Rules.Rule-12].Name;Focus on counterrecon
[Rules.Rule-13].Name;Balanced recon
[Rules.Rule-14].Name;Focus on recon
[Rules.Rule-15].Name;Recon network
[Rules.Rule-16].Name;All-round defense
[Rules.Rule-17].Name;Focus on defense
[Rules.Rule-18].Name;Balance
[Rules.Rule-19].Name;Focus on attack
[Rules.Rule-20].Name;Large-scale offense
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Orest].Name;Orest
[Advisors.Advisor-Stalkers-Levsha].Name;Lefty
[Advisors.Advisor-Stalkers-Dikiy].Name;Wild Napr
[Advisors.Advisor-Stalkers-Aidar].Name;Aydar
[Advisors.Advisor-Stalkers-Drozd].Name;Thrush
[Advisors.Advisor-Stalkers-Dog].Name;Hound
[Advisors.Advisor-Stalkers-Furgon].Name;Van
[Advisors.Advisor-Stalkers-Shilov].Name;Shilov
[Advisors.Advisor-Stalkers-Avoska].Name;Stringov
[Advisors.Advisor-Stalkers-Vasiliy].Name;Vasiliy
[Advisors.Advisor-Stalkers-Vasyan].Name;Vasyan
[Advisors.Advisor-Stalkers-Goblin].Name;Goblin
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Stalkers-Puzo].Name;Belly
[Advisors.Advisor-Stalkers-Ezh].Name;Vovka the Hedgehog
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Ovechko].Name;Semyon Lambee
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
