[Territories.Name].Zona1;Северный блокпост
[Territories.Name].Zona2;Северные камни
[Territories.Name].Zona3;Перевёрнутый грузовик
[Territories.Name].Zona4;Северная посадка
[Territories.Name].Zona5;Северо-восточные холмы
[Territories.Name].Zona6;Брошенный хутор
[Territories.Name].Zona7;Ферма
[Territories.Name].Zona8;Восточный тоннель
[Territories.Name].Zona9;Северные холмы у моста
[Territories.Name].Zona10;Западная глушь
[Territories.Name].Zona11;Брошенный поезд
[Territories.Name].Zona12;Северный выход тоннеля
[Territories.Name].Zona13;Восточная долина
[Territories.Name].Zona14;Разрушенный мост
[Territories.Name].Zona15;Восточные холмы
[Territories.Name].Zona16;Южные холмы у моста
[Territories.Name].Zona17;Юго-восточные холмы
[Territories.Name].Zona18;Малый лес
[Territories.Name].Zona19;АТП
[Territories.Name].Zona20;Юго-восточный тоннель
[Territories.Name].Zona21;Деревня новичков
[Territories.Name].Zona22;Южные камни
[Territories.Name].Zona23;Скрытый лагерь
[Territories.Name].Zona24;Южный блокпост
